,Tweet,Label
0,The conservation between memory and knowledge The challenges of sustainability Sara Abram Secretary General Centro di Conservazione e restauro La Restauro Venaria Reale Expo2020 BeautyconnectsPeople ItalyExpo2020,0
1,Discover Luxembourg Wines at Expo 2020 Dubai on 7th March Book your spot for a wine tasting animated by Sommelier Antoine Char amp Chef Kim Kevin de Dood LUexpo2020Dubai expo2020dubai expo2020 madeinluxembourg luxembourg,0
2,Only 29 days left for you to pack in all of the experiences you have missed Expo2020 Expo2020Dubai,0
3,Significant participation by DubaiPolice in the walk event for the National Sports Day Expo2020 UAEUnitesUs,1
4,Don t forget to share your photos or videos on Instagram with ExpoMoments and tag to enter and remember to make sure your account isn t private Competition ends 4 March 2022 Terms amp conditions link Expo2020 Dubai,0
5,Can you pick between these beautiful pastels Available in our belgianpavilion Gift Shop thanks to our partners expo2020 dubai uae,0
6,Small Business for the SDGs Exhibition is launched at the UNHub at Expo2020 It showcases how small businesses contribute to the achievement of the Sustainable Development Goals Check it out from 1 7 March UNxExpo,1
7,NEW ROLE Executive Assistant APPLY HERE gt gt gt hiring careers recruit newrole recruitment jobsearch recruiting medicaldevices jobs nowhiring pharma kinetic pharmajobs medicaldevicejobs talent Riyadh Saudi KSA expo2020,1
8,Enabling 50 000 transactions per day for 16 million visits at 1200 PoS in 350 outlets and pavilions across Expo 2020 Check out what our customers have to say Expo2020 TheBestRun,0
9,Due to a great vision the UAE has flourished developed and inspired us with its achievements Let s celebrate Union Fortress 8 South Expo on 5 amp 6 March 2022 4 30 pm unionfortress uae uaemilitary unionfortress8 dubai expo2020 modgovae,1
10,Visitors post messages of support for Ukraine at its Expo2020 pavilion,1
11,The lanyards are available on a first come first served basis For enquiries related to lanyard collection WhatsApp 0501375704 or Call 800EXPO Expo2020 Dubai,0
12,Don t miss out on the Android Opera MIRROR performance by Keiichiro Shibuya and the NSO Symphony Orchestra UAE involving Buddhist chants evoking 1200 years of Japanese tradition It s now or never before it s gone forever Expo2020 Dubai jp,0
13,March towards an eventful month Find out what s happening in Dubai this March 2022 and what you can do today tomorrow this weekend and every day of the week fiduproperties expo2020dubai expo Expo2020 Dubai uae mydubai dubailife explore,0
14,For enquiries related to lanyard collection WhatsApp 0501375704 or Call 800EXPO Expo2020 Dubai,0
15,If you re planning to visit Expo2020 DubaiMetro is your most convenient and easiest way to reach the exhibition s facilities and pavilions directly through a hassle free journey towards Expo 2020 Station RTA To view the metro s operating hours,1
